UKE ,DATO ,KIRKEÅRSDAG / ,NØTTERØY ,TEIE ,TORØD ,VEIERLAND ,ANDAKTER ,DÅPS- ,STABS- ,KOR / ,TROS- ,DIAKONI ,DIVERSE 
"","",PREKENTEKST ,"","","","",INSTITUSJON ,SAMTALER ,MØTER ,KONSERTER ,OPPLÆRING ,"",""
"",01 ,"","","","","","","","","","","",""
"",02 ,10.s.i treenighet ,"",Gudstjeneste ,"","","","","","","","",""
"","","Matt.18,21-35 ","",KOS/Ingunn ,"","","","","","","","",""
32 ,03 ,"","","","","","","","","","","",""
"",04 ,"","","","","","",17: BMS ,"","","","",""
"","","","","","","","",IB ,"","","","",""
"",05 ,"","","","","","","","","","","",""
"",06 ,"","","","","","","","","","","",""
"",07 ,"","","","","","","","","","","",""
"",08 ,"","","","","","","","","","","",""
"",09 ,11.s.i treenighet ,Gudstjeneste ,"","","","","","","","","",""
"","","Mark.2,23-28 ",IB/Kristin ,"","","","","","","","","",""
33 ,10 ,"","","","","","","","","","","",""
"",11 ,"","","","","","",17: BMS ,"","","","",""
"","","","","","","","",KOS ,"","","","",""
"",12 ,"","","","","","","","","","","",""
"",13 ,"","","","","","","","","","","",""
"",14 ,"","","","","","","","","","","",""
"",15 ,"","","","","","","","","","","",""
"",16 ,12.s.i treenighet ,"",Gudstjeneste ,Gudstjeneste ,"","","","","","","",""
"","","Luk.8,1-3 ","",Verdens Ende ,IB/Jan ,"","","","","","","",""
"","","","",KOS ,"","","","","","","","",""
34 ,17 ,"","","","","","","","","","","",Første skoledag? 
"",18 ,"","","","",11: ,17: BMS ,"","","",11: ,""
"","","","","","",Dr.gården ,MK ,"","","",Åpen dag ,""
"","","","","","",Nattverd ,"","","","",Margaretha ,""
"","","","","","",Dag/Ingunn ,"","","","","",""
"","","","","","",12: ,"","","","","",""
"","","","","","",Helsehuset ,"","","","","",""
"","","","","","",Dag/Jan ,"","","","","",""
"",19 ,"","","",09: ,12.15 ,"",09: ,"","","",""
"","","","","",Stabsåpning ,Bjønnesåsen ,"",S/A ,"","","",""
"","","","","",MK/Jan ,Nattverd ,"",MK/Jan ,"","","",""
"","","","","","",KOS/Wenche ,"","","","","",""
"",20 ,"","","","","","","","","","",""
"",21 ,"","","","","","","","","","",""
"",22 ,"","","","","","","","","","",""
"",23 ,13.s.i treenighet ,Gudstjeneste ,Gudstjeneste ,"","","","","","","",""
"","","Luk.12,41-48 ",MK/Kristin ,KOS/Jan ,"","","","","","","",""
35 ,24 ,"","","","","","","","","","",""
"",25 ,"","","","",12: ,"","",16.45-17.45: ,16.45: ,11: ,""
"","","","","","",Helsehuset ,"","",Øv-Infantimus ,Legoklubb ,Åpen dag ,""
"","","","","","",Nattverd ,"","",Sonja ,Katja ,Margaretha ,""
"","","","","","",TOJ/Jan ,"","",16.45-17.45: ,"","",""
"","","","","","","","","",Øv-Aspirantkor ,"","",""
"","","","","","","","","",Ingunn ,"","",""
"","","","","","","","","",18-20: ,"","",""
"","","","","","","","","",Øv-Barnekant. ,"","",""
"","","","","","","","","",Kristin/Jan ,"","",""
"",26 ,"","","","",12.15 ,"",09: ,"","","",""
"","","","","","",Bjønnesåsen ,"",S/B ,"","","",""
"","","","","","",MK/Wenche ,"",TOJ/Kristin ,"","","",""
"",27 ,"","","","","",09: Torød ,"",16-17.30: ,"","",10-14:  
"","","","","","","",TOJ ,"",Øv-Ungd.kant. ,"","",Lokal fagdag 
"","","","","","","","","",Kristin/Ingunn ,"","",prester 
"","","","","","","","","",18.15-19.45: ,"","",""
"","","","","","","","","",Øv-Guttekoret ,"","",""
"","","","","","","","","",Kristin/Ingunn ,"","",""
"","","","","","","","","",19.15-21.45: ,"","",""
"","","","","","","","","",Øv-Kammerkor ,"","",""
"","","","","","","","","",Jan/Wenche ,"","",""
"",28 ,"","","","",10.30: ,"","","","","",""
"","","","","","",Ekeberg ,"","","","","",""
"","","","","","",KOS/Ingunn ,"","","","","",""
"",29 ,"","","","","","","","","","",""
UKE ,DATO ,KIRKEÅRSDAG / ,NØTTERØY ,TEIE ,TORØD ,VEIERLAND ,ANDAKTER ,DÅPS- ,STABS- ,KOR / ,TROS- ,DIAKONI ,DIVERSE 
"","",PREKENTEKST ,"","","","",INSTITUSJON ,SAMTALER ,MØTER ,KONSERTER ,OPPLÆRING ,"",""
"",30 ,Vingårdssøndag ,Gudstjeneste ,Gudstjeneste ,Frilufts- ,"","","","","","","",""
"","","1.Kor.3,4-11 ",IB/Wenche ,TOJ/Ingunn ,gudstjeneste ,"","","","","","","",""
"","","","","",Torødstranda ,"","","","","","","",""
"","","","",17: G-17 ,Tilrettelagt for ,"","","","","","","",""
"","","","","",barn ,"","","","","","","",""
"","","","","",Min Kirkebok ,"","","","","","","",""
"","","","","",MK/Jan ,"","","","","","","",""
36 ,31 ,"","","","","","","","","","","",""
