UKE ,DATO ,KIRKEÅRSDAG / ,NØTTERØY ,TEIE ,TORØD ,VEIERLAND ,ANDAKTER ,DÅPS- ,STABS- ,KOR / ,TROS- ,DIAKONI ,DIVERSE 
"","",PREKENTEKST ,"","","","",INSTITUSJON ,SAMTALER ,MØTER ,KONSERTER ,OPPLÆRING ,"",""
"",01 ,"","","","","","","","","","","",""
"",02 ,"","","","","","","","","","","",""
"",03 ,"","","","","","","","","","","",""
"",04 ,"","","","","","","","","","","",""
"",05 ,Aposteldagen ,"",Gudstjeneste ,"","","","","","","","",""
"","","Matt.16,13-20 ","",TOJ/Jan ,"","","","","","","","",""
28 ,06 ,"","","","","","","","","","","",""
"",07 ,"",?? ,"","","","",17: BMS ,"",?? ,"","",""
"","","",Konsert ,"","","","",TOJ ,"",Konsert ,"","",""
"","","","","","","","","","",Nøtterøy krk ,"","",""
"","","","","","","","","","",Operagutta ,"","",""
"",08 ,"","","","","","","","","","","",""
"",09 ,"","","","",19.30:  ,"","","","","","",""
"","","","","","",Aftensang ,"","","","","","",""
"","","","","","",(Ferge kl.19.05) ,"","","","","","",""
"","","","","","",MK/Wenche ,"","","","","","",""
"",10 ,"","","","","","","","","","","",""
"",11 ,"","","","","","","","","","","",""
"",12 ,7.s.i treenighet ,Gudstjeneste ,"","","","","","","","","",""
"","","Luk.19,1-10 ",MK/Wenche ,"","","","","","","","","",""
29 ,13 ,"","","","","","","","","","","",""
"",14 ,"","","","","","",17: BMS ,"","","","",""
"","","","","","","","",MK ,"","","","",""
"",15 ,"","","","","","","","","","","",""
"",16 ,"","","","",19.30:  ,"","","","","","",""
"","","","","","",Aftensang ,"","","","","","",""
"","","","","","",(Ferge kl.19.05) ,"","","","","","",""
"","","","","","",TOJ/Wenche ,"","","","","","",""
"",17 ,"","","","","","","","","","","",""
"",18 ,"","","","","","","","","","","",""
"",19 ,8.s.i treenighet ,Gudstjeneste ,Gudstjeneste ,"","","","","","","","",""
"","","Mark.12,37b-44 ",TOJ/Wenche ,MK/org.vikar ,"","","","","","","","",""
30 ,20 ,"","","","","","","","","","","",""
"",21 ,"","","","","","",17: BMS ,"","","","",""
"","","","","","","","",IB ,"","","","",""
"",22 ,"","","","","","","","","","","",""
"",23 ,"","","","",19.30:  ,"","","","","","",""
"","","","","","",Aftensang ,"","","","","","",""
"","","","","","",(Ferge kl.19.05) ,"","","","","","",""
"","","","","","",KOS/Ingunn ,"","","","","","",""
"",24 ,"","","","","","","","","","","",""
"",25 ,"","","","","","","","","","","",""
UKE ,DATO ,KIRKEÅRSDAG / ,NØTTERØY ,TEIE ,TORØD ,VEIERLAND ,ANDAKTER ,DÅPS- ,STABS- ,KOR / ,TROS- ,DIAKONI ,DIVERSE 
"","",PREKENTEKST ,"","","","",INSTITUSJON ,SAMTALER ,MØTER ,KONSERTER ,OPPLÆRING ,"",""
"",26 ,9.s.i treenighet ,Gudstjeneste ,Gudstjeneste ,"","","","","","",Kl.17: Samling ,"",""
"","","Joh.8,2-11 ",IB/Wenche ,KOS/Ingunn ,"","","","","","",for 4-åringer ,"",""
"","","","","","","","","","","",XX kirke? ,"",""
"","","","","","","","","","","",Sonja / Ellen / ,"",""
"","","","","","","","","","","",kantor/kirketj. ,"",""
31 ,27 ,"","","","","","","","","","","",""
"",28 ,"","","","","","",17: BMS ,"","","","",""
"","","","","","","","",KOS ,"","","","",""
"",29 ,Olsok ,"","","",19.30: Olsok- ,"","","","","","",""
"","","Luk.9,23-26 ","","","",Gudstjeneste ,"","","","","","",""
"","","","","","",(Ferge kl.19.05) ,"","","","","","",""
"","","","","","",IB/Jan ,"","","","","","",""
"",30 ,"","","","","","","","","","","",""
"",31 ,"","","","","","","","","","","",""
