UKE ,DATO ,KIRKEÅRSDAG / ,NØTTERØY ,TEIE ,TORØD ,VEIERLAND ,ANDAKTER ,DÅPS- ,STABS- ,KOR / ,TROS- ,DIAKONI ,DIVERSE 
"","",PREKENTEKST ,"","","","",INSTITUSJON ,SAMTALER ,MØTER ,KONSERTER ,OPPLÆRING ,"",""
23 ,01 ,"","","","","","","","",Kor-tur ,"","",Maia studieperm. 
"","","","","","","","","","",Barnekantoriet ,"","",uke 22-25 
"","","","","","","","","","",Kristin ,"","",""
"",02 ,"","","","","",12: ,17: BMS ,"",Korøvelser? ,17.30-19: ,11: ,""
"","","","","","","",Helsehuset ,TOJ ,"","",7-års-klubb ,Åpen dag ,""
"","","","","","","",Dag/Jan ,"","","",Ellen/Sonja ,Margaretha ,""
"",03 ,"","","","","",12.15: ,"",09: S/F-k ,"",11: Babysang ,11:  ,""
"","","","","","","",Bjønnesåsen ,"",Sonja/ ,"",Torød ,Onsdagstreff ,""
"","","","","","","",TOJ/Jan ,"",Wenche ,"",Sonja/Anette ,Dag ,""
"",04 ,"","","","","","","","",Korøvelser? ,"","",""
"",05 ,"","","","","","","","","","","",""
"",06 ,"","","","","","","","","","","",""
"",07 ,2.s.i treenighet ,Gudstjeneste ,Gudstjeneste ,Gudstjeneste ,"","","","","","","",""
"","","Salme 67,2-6 ",IB/Wenche ,KOS/Ingunn ,TOJ/Kristin ,"","","","","","","",""
24 ,08 ,"","","","","","","","","","","",Maia studieperm. 
"","","","","","","","","","","","","",uke 22-25 
"",09 ,"","","","","",11: Dr.gården ,"","","",17.30-19: ,11: ,""
"","","","","","","",TOJ/Ingunn  ,"","","",7-års-klubb ,Åpen dag ,""
"","","","","","","","","","","",Ellen/Sonja ,Margaretha ,""
"","","","","","","",12: ,"","","","","",""
"","","","","","","",Helsehuset ,"","","","","",""
"","","","","","","",IB/Jan ,"","","","","",""
UKE ,DATO ,KIRKEÅRSDAG / ,NØTTERØY ,TEIE ,TORØD ,VEIERLAND ,ANDAKTER ,DÅPS- ,STABS- ,KOR / ,TROS- ,DIAKONI ,DIVERSE 
"","",PREKENTEKST ,"","","","",INSTITUSJON ,SAMTALER ,MØTER ,KONSERTER ,OPPLÆRING ,"",""
"",10 ,"","",12-14: ,"","",12.15: ,"",09: S/E ,"",11: Babysang ,"",""
"","","","",Kirkevandring ,"","",Bjønnesåsen ,"",Kristine/ ,"",Torød ,"",""
"","","","",Teie skole ,"","",Dag/Wenche ,"",Ingunn ,"",Sonja/Anette ,"",""
"","","","",KOS/Kristine/ ,"","","","","","","","",""
"","","","",Ingunn ,"","","","","","","","",""
"",11 ,"",12-14: ,"","","","",09: Torød ,"","","","",""
"","","",Kirkevandring ,"","","","",KOS ,"","","","",""
"","","",Teie skole ,"","","","","","","","","",""
"","","",KOS/Kristine/ ,"","","","","","","","","",""
"","","",Ingunn ,"","","","","","","","","",""
"",12 ,"","","","","","","","","","","",11-18: 
"","","","","","","","","","","","","",Fagdag for alle 
"","","","","","","","","","","","","","kirkelig ansatte, "
"","","","","","","","","","","","","",Larvik krk/Bølgen: 
"","","","","","","","","","","","","",Gudstjenestearbeid
"",13 ,"","","","","","","","","","","",""
"",14 ,3.s.i treenighet ,Gudstjeneste ,Gudstjeneste ,"","","","","","","","",""
"","","Joh.1,35-51 ",TOJ/Ingunn ,Kammerkoret ,"","","","","","","","",""
"","","","",KOS/Wenche/ ,"","","","","","","","",""
"","","","",Jan ,"","","","","","","","",""
25 ,15 ,"","","","","","","","","","","",Maia studieperm. 
"","","","","","","","","","","","","",uke 22-25 
"","","","","","","","","","","","","",Karl O.  5.ferieuke 
"",16 ,"","","","","",Ikke andakt ,Ikke ,STABS- ,"","","",STABS- 
"","","","","","","",Helsehuset ,dåpssamtale ,TUR ,"","","",TUR 
"",17 ,"","","","","",Ikke andakt ,"",STABS- ,"","",11: ,STABS- 
"","","","","","","",Bjønnesåsen ,"",TUR ,"","",Åpen dag ,TUR 
"",18 ,"","","","","","","","","","","",""
"",19 ,"","","","","",10.30: ,"","","","","",Siste skoledag 
"","","","","","","",Ekeberg ,"","","","","",""
"","","","","","","",KOS/Ingunn ,"","","","","",""
"",20 ,"","","","","","","","","","","",""
"",21 ,4.s.i treenighet ,Gudstjeneste ,Gudstjeneste ,"",Gudstjeneste ,"","","","","","",""
"","","Matt.16,24-27 ",IB/Kristin/Jan ,TOJ/Ingunn ,"",KOS/Nina Aas ,"","","","","","",""
26 ,22 ,"","","","","","","","","","","",""
"",23 ,"","","","","",12: ,Ikke ,"","","","",""
"","","","","","","",Helsehuset ,dåpssamtale ,"","","","",""
"","","","","","","",Nattverd ,"","","","","",""
"","","","","","","",Dag/Jan ,"","","","","",""
"",24 ,"","","","","",12.15: ,"","","","","",""
"","","","","","","",Bjønnesåsen ,"","","","","",""
"","","","","","","",Margaretha/ ,"","","","","",""
"","","","","","","",Wenche ,"","","","","",""
"",25 ,"","","","","","","","","","","",""
"",26 ,"","","","","","","","","","","",""
"",27 ,"","","","","","","","","","","",""
"",28 ,5.s.i treenighet ,Gudstjeneste ,"",Gudstjeneste ,"","","","","","","",""
"","","Matt.7,21-29 ",TOJ/Wenche ,"",MK/Jan ,"","","","","","","",""
UKE ,DATO ,KIRKEÅRSDAG / ,NØTTERØY ,TEIE ,TORØD ,VEIERLAND ,ANDAKTER ,DÅPS- ,STABS- ,KOR / ,TROS- ,DIAKONI ,DIVERSE 
"","",PREKENTEKST ,"","","","",INSTITUSJON ,SAMTALER ,MØTER ,KONSERTER ,OPPLÆRING ,"",""
27 ,29 ,"","","","","","","","","","","",""
"",30 ,"","","","","",12: ,17: BMS ,"","","","",""
"","","","","","","",Helsehuset ,MK ,"","","","",""
"","","","","","","",Dag/Jan ,"","","","","",""
