UKE ,DATO ,KIRKEÅRSDAG / ,NØTTERØY ,TEIE ,TORØD ,VEIERLAND ,ANDAKTER ,DÅPS- ,STABS- ,KOR / ,TROS- ,DIAKONI ,DIVERSE 
"","",PREKENTEKST ,"","","","",INSTITUSJON ,SAMTALER ,MØTER ,KONSERTER ,OPPLÆRING ,"",""
"",01 ,"","","","","","","","",Ikke ,"","",""
"","","","","","","","","","",korøvelser ,"","",""
"",02 ,"","","","","","","","","","","",""
"",03 ,"","","","","","","","","","","",""
"",04 ,19.s.i treenighet ,Gudstjeneste ,Gudstjeneste ,"","","","","","","","",""
"","","Joh.7,14-17 ",IB/Kristin ,Skaperverkets ,"","","","","","","","",""
"","","","",søndag ,"","","","","","","","",""
"","","","",MK/Dag/Jan ,"","","","","","","","",""
41 ,05 ,"","","","","","","","","","","",""
"",06 ,"","","",15-16.45: ,"",12: ,"","",16.45-17.45: ,16.45: ,11: ,08.30-11.30: 
"","","","","",Konf.underv. ,"",Helsehuset ,"","",Øv-Infantimus ,Legoklubb ,Åpen dag ,Kapittelmøte 
"","","","","",Kristine/MK ,"",TOJ/Jan ,"","",Sonja ,Katja ,Margaretha ,prester 
"","","","","","","","","","",16.45-17.45: ,"","",""
"","","","","","","","","","",Øv-Aspirantkor ,"","",""
"","","","","","","","","","",Ingunn ,"","",""
"","","","","","","","","","",18-20: ,"","",""
"","","","","","","","","","",Øv-Barnekant. ,"","",""
"","","","","","","","","","",Kristin/Jan ,"","",""
"",07 ,"",10.30: ,09: ,12.30: ,"",12.15 ,"",09: ,"",11: Babysang ,11: ,""
"","","",Sangsamling ,Sangsamling ,Sangsamling ,"",Bjønnesåsen ,"",S/C ,"",Torød ,Onsdagstreff ,""
"","","",3.trinn ,3.trinn ,3.trinn ,"",MK/Nina Aas ,"",Merete/ ,"",Sonja/Anette ,Dag/KOS ,""
"","","",Wenche/Jan/ ,Wenche/Jan/ ,Wenche/Jan/ ,"","","",Wenche ,"","","",""
"","","",Ingunn/Kristin ,Ingunn/Kristin ,Ingunn/Kristin ,"","","","","","","",""
"","","","",15-18.45: ,19-21.30: ,"","","","","","","",""
"","","","",Konf.underv. ,Alpha-kurs ,"","","","","","","",""
"","","","",Kristine/KOS ,Jan ,"","","","","","","",""
UKE ,DATO ,KIRKEÅRSDAG / ,NØTTERØY ,TEIE ,TORØD ,VEIERLAND ,ANDAKTER ,DÅPS- ,STABS- ,KOR / ,TROS- ,DIAKONI ,DIVERSE 
"","",PREKENTEKST ,"","","","",INSTITUSJON ,SAMTALER ,MØTER ,KONSERTER ,OPPLÆRING ,"",""
"",08 ,"","","","","","",09: Torød ,"",16-17.30: ,"","",""
"","","","","","","","",MK ,"",Øv-Ungd.kant. ,"","",""
"","","","","","","","","","",Kristin/Ingunn ,"","",""
